id,name,next,is_start,is_end,des1,des2,type,enemy,npc,scene,textures
12,遇到幸存者,13;14,0,0,在废墟中遇到了其他幸存者，他们组成了一个小型聚集地；但聚集地的资源正在快速消耗,你决定帮助聚集地寻找资源，或者离开这里独自前行,2,,9,2,1
13,资源争夺,15;16,0,0,为了争夺有限的资源，聚集地与另一群幸存者爆发了冲突；你被卷入了这场争斗,战斗结束后，你意识到这个世界比你想象的更加残酷,1,1,,2,1
14,离开聚集地,17;18,0,0,你选择离开聚集地，独自踏上旅程；临行前，一位老人塞给你一本破旧的笔记,笔记中记载着某个教派的秘密，这或许是你生存的关键,2,,10,10,1
15,加入聚集地,19;20,0,0,你决定留下来帮助聚集地，成为了他们的一员；每天的工作让你暂时忘记了外面的危险,但平静的生活下暗流涌动，有人开始质疑你的身份,2,,11,2,1
16,洗劫营地,19;21,0,0,你选择了另一条路——洗劫这个营地，抢夺资源后远走高飞,背负着罪恶感，你继续前行，不知道前方等待你的是什么,1,2,,2,1
17,笔记秘密,20;21,0,0,笔记中详细记录了某个教派的仪式和弱点；这是无价的情报,你决定利用这些信息，或者寻找笔记的主人,2,,,10,1
18,独自旅行,19;20,0,0,你独自一人在荒野中前行，见识了这个世界的残酷与美丽,某天，你发现了一座废弃的城市，或许可以在那里找到补给,2,,,12,1
19,建立信任,23;24,0,0,通过不断的努力，你逐渐获得了聚集地成员的信任,他们开始向你透露一些关于这个世界的真相,2,,12,2,1
20,发现线索,23;25,0,0,在探索过程中，你发现了某个教派的活动痕迹,这些线索指向城市深处的一个秘密据点,2,,,12,1
21,遭遇伏击,24;25,0,0,在旅途中，你遭到了一群不明身份者的伏击,战斗结束后，你从他们身上找到了某个教派的标记,1,3,,12,1
22,家族图书馆,23;24,0,0,在家族图书馆深处，你发现了被隐藏的密室；里面收藏着关于邪神的禁忌知识,知识让你恐惧，但也让你更加坚定要揭开真相,2,,,3,1
23,解读古籍,25;26,0,0,你花费数周时间解读古籍，逐渐理解了邪神的本质；它们并非神明，而是某种更古老的存在,你决定前往古籍中提到的地点，亲自验证这些信息,2,,13,3,1
24,寻找遗迹,26;27,0,0,根据古籍的指引，你开始寻找传说中的遗迹；途中遇到了同样在寻找遗迹的探险队,你决定与他们合作，或者独自前行,2,,14,11,1
25,古籍守护者,27;28,0,0,图书馆中隐藏着一位守护者，他观察你很久了；他告诉你，你是被选中的人,守护者传授你一些古老的知识，这是对抗邪神的关键,4,,15,3,1
26,探险合作,28;29,0,0,你与探险队达成了合作协议，决定共同探索遗迹,但队伍中似乎有人心怀鬼胎，你需要保持警惕,2,,16,11,1
27,遗迹入口,29;30,0,0,经过长途跋涉，你们终于找到了遗迹的入口；大门上刻满了诡异的符号,推开大门，一股古老的气息扑面而来,2,,,13,1
28,独自探索,29;30,0,0,你选择独自探索遗迹，这样更加安全，但也更加危险,在遗迹深处，你发现了某个惊人的秘密,2,,,13,1
29,遗迹核心,33;34,0,0,遗迹的核心区域保存完好，这里似乎是某个教派的圣地,你找到了关键的信息，但这也会引来危险,2,,,13,1
30,遭遇守卫,33;35,0,0,遗迹中竟然还有守卫，他们攻击了所有入侵者,经过一番苦战，你成功击败了守卫,1,4,,13,1
32,能力觉醒,33;34,0,0,在逃亡过程中，你发现自己拥有了某种特殊能力；这是实验的副作用，还是某种恩赐？,你决定测试自己的能力极限，或者寻找其他像你一样的人,4,,,12,1
33,能力测试,35;36,0,0,在废弃的工厂中，你开始测试自己的能力；随着使用次数的增加，你逐渐掌握了它的规律,能力的增强让你有了自保的资本，但也引来了教派的注意,4,,,12,1
34,寻找同类,36;37,0,0,你开始寻找其他实验体，希望能找到答案；线索指向城市地下的一个秘密组织,组织的成员都是像你一样的实验体，他们似乎在策划着什么,2,,17,13,1
35,组织接触,37;38,0,0,你成功接触到了地下组织，他们对你很感兴趣,组织首领告诉你，你是他们等待已久的'关键',2,,18,13,1
36,独自行动,37;38,0,0,你决定不加入任何组织，独自行动更加自由,但你也知道，一个人的力量是有限的,2,,,12,1
37,实验真相,111;112,0,0,你终于了解到实验的真相——你们是被选中的'容器'，用来承载邪神的力量,这个真相让你震惊，但也让你更加坚定要反抗，现在你掌握了关键情报,2,,19,13,1
38,组织任务,111;113,0,0,组织交给了你第一个任务——潜入某个教派的据点，窃取重要情报,这是你的第一次正式行动，只能成功不能失败，任务完成后你获得了核心线索,2,,20,13,1
42,梦境指引,43;44,0,0,根据梦境的指引，你来到了一个陌生的小镇；这里的居民似乎都在隐藏着什么,你决定暗中调查，或者直接询问当地居民,2,,,14,1
43,暗中调查,45;46,0,0,你发现小镇每晚都会举行某种仪式，居民们都会前往后山的山洞；这或许与你的梦境有关,你决定潜入仪式现场，亲眼看看他们在做什么,2,,,14,1
44,询问居民,46;47,0,0,一位老人告诉你，这个小镇供奉着一位古老的神明；每隔一段时间，神明就会赐予他们恩惠,但你注意到老人说话时的眼神闪烁，似乎在隐瞒什么,2,,21,14,1
45,仪式真相,47;48,0,0,你发现小镇的仪式实际上是在供奉一位邪神；居民们用活人献祭，换取所谓的'恩惠',你决定阻止仪式，或者利用仪式达成目的,2,,,14,1
46,村民秘密,47;48,0,0,村民告诉你，他们也是被迫的；教派控制了整个小镇，不服从的人都会消失,你决定帮助村民，或者利用他们对抗教派,2,,22,14,1
47,梦境实现,49;50,0,0,在仪式现场，你看到了梦境中的场景；原来你的梦境是某种预知,你意识到自己与这个邪神有着特殊的联系,2,,,14,1
48,做出选择,49;50,0,0,你面临着艰难的抉择——是拯救这些无辜的村民，还是利用这个机会获得力量,你的选择将决定你未来的道路,2,,,14,1
49,拯救村民,53;54,0,0,你决定拯救村民，帮助他们摆脱教派的控制,村民们感激你的帮助，提供了重要的情报,2,,23,14,1
50,获得力量,53;55,0,0,你选择利用仪式获得力量，这是快速变强的捷径,力量的代价是未知的，但你已经无法回头,4,,,14,1
52,神秘货物,53;54,0,0,在约定的地点，你见到了神秘的卖家；他带来的货物上刻着诡异的符号，散发着不祥的气息,你决定买下货物仔细研究，或者拒绝这笔交易,3,,24,6,1
53,购买货物,55;56,0,0,货物中是一本古老的账本，记录着某个教派与其他势力的交易明细；这些信息足以颠覆整个黑市,你意识到自己卷入了一场巨大的阴谋，但已经无法脱身,3,,,6,1
54,拒绝交易,56;57,0,0,你拒绝了这笔交易，但卖家并没有离开；他告诉你，知道这个秘密的人都已经上了教派的追杀名单,为了保命，你决定先下手为强，或者逃离这座城市,2,,25,6,1
55,账本研究,57;58,0,0,经过仔细研究，你发现了账本中隐藏的秘密——某个大人物与教派勾结,这个发现让你成为了危险人物，你必须小心行事,2,,,6,1
56,逃离城市,58;59,0,0,你决定逃离这座城市，远离这个是非之地,但在城门口，你被教派的追兵拦住了去路,1,5,,6,1
57,先下手为强,58;59,0,0,你决定主动出击，在教派动手之前解决掉卖家,战斗结束后，你从卖家身上找到了更多线索,1,6,,6,1
58,黑市情报,63;64,0,0,你利用黑市的关系网，开始收集更多关于教派的情报,情报显示，教派正在准备某个大型仪式,3,,26,6,1
59,遭遇追兵,63;65,0,0,教派的追兵找到了你，一场激战不可避免,击败追兵后，你知道自己已经彻底得罪了教派,1,7,,6,1
62,信仰动摇,63;64,0,0,在教会图书馆中，你发现了被篡改的经文；真正的教义与你所知的完全不同,信仰的崩塌让你陷入迷茫，你决定离开教会，或者留下来寻找真相,2,,,7,1
63,离开教会,65;66,0,0,你悄悄离开了教会，开始了流浪生活；途中遇到了一位同样在寻找真相的学者,学者邀请你加入他的研究团队，一起调查教派的秘密,2,,27,15,1
64,留下调查,66;67,0,0,你选择留在教会，暗中调查经文的真相；但你的行为引起了主教的注意,主教开始试探你，你必须在暴露之前找到关键证据,2,,28,7,1
65,学者研究,67;68,0,0,学者的研究揭示了邪神的弱点；但这需要付出巨大的代价才能验证,你决定支持研究，或者寻找其他方法,2,,29,15,1
66,主教试探,68;69,0,0,主教开始试探你的忠诚度，你必须小心应对；稍有不慎就会暴露身份,你决定继续伪装，或者摊牌,2,,30,7,1
67,经文真相,69;70,0,0,真正的经文记载着对抗邪神的方法；但教会高层一直隐瞒着这个秘密,你决定公开真相，或者独自使用这个方法,2,,,7,1
68,研究突破,69;70,0,0,研究取得了突破性进展，你们找到了一种可能对抗邪神的武器,但制造这种武器需要稀有的材料，你必须去寻找,4,,31,15,1
69,暴露身份,73;74,0,0,你的身份最终还是暴露了，教会开始追杀你,在逃亡路上，你遇到了同样被追杀的反抗者,1,8,32,7,1
70,继续潜伏,73;75,0,0,你成功地继续潜伏在教会内部，成为了主教的亲信,这个位置让你能够接触到更多机密，但也更加危险,2,,33,7,1
72,装置秘密,73;74,0,0,装置内部刻满了复杂的符文，似乎是一种通讯设备；偶尔会接收到来自某个地方的信号,你决定追踪信号来源，或者继续研究装置的功能,2,,,8,1
73,追踪信号,75;76,0,0,根据信号的指引，你来到了城市边缘的一座废弃工厂；这里似乎是某个教派的秘密基地,你决定潜入工厂，或者在外部观察,2,,,16,1
74,研究装置,76;77,0,0,经过数周的研究，你终于破解了装置的密码；里面存储着师傅留下的最后信息,信息提及了一个名为'原点'的计划，似乎与某个教派的终极目标有关,2,,34,8,1
75,工厂潜入,77;78,0,0,你成功潜入了工厂，发现这里正在进行着某种邪恶的实验,实验的对象都是普通人，他们被用来测试邪神的力量,2,,,16,1
76,外部观察,77;78,0,0,你在工厂外部进行了长时间的观察，记录下了所有进出的人员和车辆,这些情报可能成为对抗教派的关键,2,,,16,1
77,实验真相,79;80,0,0,你发现工厂正在进行人体实验，试图创造能够承载邪神力量的容器,这个发现让你震惊，你决定解救实验体，或者摧毁这里,2,,,16,1
78,师傅信息,79;80,0,0,师傅的信息提及了一个名为'原点'的计划；这似乎关系到整个世界的命运,你决定继续调查这个计划，或者寻找师傅,2,,35,16,1
79,解救实验体,111;112,0,0,你成功解救了被关押的实验体，他们对你感激涕零,实验体们告诉你，他们知道某个教派的秘密据点，这是关键线索,2,,36,16,1
80,摧毁工厂,111;113,0,0,你决定摧毁这座工厂，阻止教派的邪恶实验,爆炸声中，你知道自己已经彻底得罪了这个教派，现在必须找到他们的核心,1,9,,16,1
82,家族阴谋,83;84,0,0,调查发现，你的家族与某个教派有着深厚的联系；父亲在教派中担任着重要职位,你决定与父亲对质，或者继续暗中调查,2,,,9,1
83,与父亲对质,85;86,0,0,父亲告诉你，这一切都是为了家族的生存；在这个乱世中，只有依附教派才能保护家人,你面临着艰难的抉择：是理解父亲，还是阻止他,2,,37,9,1
84,继续调查,86;87,0,0,你发现父亲正在策划一场针对其他贵族的阴谋；这可能会引发整个城市的动荡,你决定阻止父亲，或者加入他的计划,2,,,9,1
85,理解父亲,88;89,0,0,你选择了理解父亲，并决定帮助他完成计划,但这意味着你必须背叛自己的良心,2,,38,9,1
86,阻止父亲,88;90,0,0,你决定阻止父亲的阴谋，即使这意味着要与家族为敌,你开始暗中联络父亲的敌人，准备发动反击,2,,,9,1
87,加入计划,89;90,0,0,你选择加入父亲的计划，成为了他的得力助手,但随着计划的推进，你发现了更加可怕的真相,2,,39,9,1
88,贵族联盟,111;112,0,0,你联络了其他对教派不满的贵族，组成了一个秘密联盟,联盟的目标是推翻教派对城市的控制，你们已经掌握了关键证据,2,,40,9,1
89,教派反应,111;113,0,0,教派察觉到了你的行动，开始对你进行打压,你必须在教派的全面打压之前完成计划，现在已经接触到了核心,2,,41,9,1
90,家族内乱,112;113,0,0,你的行动引发了家族内部的分裂，支持与反对你的两派开始内斗,内乱让教派有机可乘，他们开始介入家族事务，你必须尽快做出决断,2,,,9,1
92,循环记忆,93;94,0,0,每次循环都会保留之前的记忆，你开始记录每次尝试的结果；逐渐发现了循环的规律,你决定利用这些记忆找出循环的源头，或者尝试改变某些关键事件,2,,,10,1
93,寻找源头,95;96,0,0,根据记忆的线索，你找到了一个神秘的地点；这里似乎是时间循环的起点,你决定深入探索，或者在外部观察,2,,,17,1
94,改变事件,96;97,0,0,你尝试改变某些关键事件，发现每次改变都会让循环发生微小的变化；这让你看到了打破循环的希望,你决定继续尝试，或者寻找更直接的方法,2,,,10,1
95,循环源头,98;99,0,0,你找到了时间循环的源头；这里存在着某种超越理解的力量,你决定破坏这个源头，或者利用它,2,,,17,1
96,因果改变,98;100,0,0,通过不断尝试，你逐渐掌握了改变因果的方法；但这可能会带来无法预料的后果,你决定继续使用这个方法，或者停止,2,,,17,1
97,直接方法,99;100,0,0,你决定寻找更直接的方法打破循环——找到并击败幕后黑手,这需要你拥有足够的力量，你必须尽快变强,2,,,10,1
98,破坏源头,103;104,0,0,你决定破坏时间循环的源头，即使这可能会带来未知的后果,随着源头的破坏，你感觉世界都在发生变化,2,,,17,1
99,利用循环,103;105,0,0,你选择利用时间循环的力量，这是快速变强的捷径,但每次使用循环，你都会失去一些人性,4,,,17,1
100,停止尝试,104;105,0,0,你决定停止对时间循环的干预，接受现实,但这并不意味着放弃，你开始寻找其他方法,2,,,10,1
102,村庄调查,103;104,0,0,村庄里空无一人，只有墙壁上残留的诡异符号；这些符号似乎在诉说着某种仪式,你决定追踪符号的来源，或者在村庄中寻找线索,2,,,18,1
103,追踪符号,105;106,0,0,符号的轨迹指向村庄后山的一个废弃神庙；这里似乎是某个教派的秘密据点,你决定潜入神庙，或者请求支援,2,,,19,1
104,寻找线索,106;107,0,0,在村庄的一间房屋中，你发现了一本日记；里面详细记录了失踪前发生的诡异事件,日记提及了一个名为'献祭'的仪式，似乎与失踪案有关,2,,,18,1
105,神庙仪式,108;109,0,0,神庙中正在进行着某种邪恶仪式；你必须尽快做出决定,你决定打断仪式，或者等待时机,2,,,19,1
106,失踪真相,108;110,0,0,失踪的村民都被用作了献祭的祭品；这个真相让你愤怒，但也让你更加坚定,你决定拯救剩余的村民，或者追查幕后黑手,2,,,19,1
107,请求支援,109;110,0,0,你决定返回部门请求支援，一个人难以应对这种情况,但支援到达需要时间，你必须在此期间监视神庙,2,,42,18,1
108,打断仪式,111;112,0,0,你突然打断仪式，与教派成员发生了正面冲突,经过一番激战，你成功阻止了仪式的进行,1,10,,19,1
109,等待时机,111;113,0,0,你选择隐藏在暗处，等待最佳的出手时机,仪式进行到高潮时，教派的核心成员都出现了,2,,,19,1
110,监视神庙,112;113,0,0,你在神庙周围设立了监视点，记录着所有进出的人员,这些情报可能成为摧毁这个教派的关键,2,,,19,1
111,教派核心,114;115,0,0,通过一系列行动，你终于接触到了教派的核心成员,他们告诉你，这一切都只是开始,2,,43,19,1
112,拯救村民,114;116,0,0,你成功解救了被关押的村民，他们提供了重要情报,情报显示，教派正在准备一个更大的仪式,2,,44,19,1
113,幕后黑手,115;116,0,0,你发现了仪式的幕后黑手——竟然是某个你信任的人,背叛让你愤怒，但也让你更加冷静,2,,45,19,1
114,荒芜祭团线索,117;118,0,0,情报指向荒芜祭团，一个散播瘟疫和疾病的邪恶组织,你决定深入调查，或者准备直接对抗,2,,,20,1
115,战争神殿线索,119;120,0,0,线索显示战争神殿正在策划一场大规模的战斗,你决定阻止战争，或者利用战争,2,,,21,1
116,生命教派线索,121;122,0,0,你发现了生命教派的秘密实验室，他们在进行人体实验,你决定解救实验体，或者摧毁实验室,2,,,22,1
117,深入调查,123;124,0,0,你潜入荒芜祭团的据点，发现了他们散播瘟疫的计划,你必须尽快找到解药，或者阻止瘟疫的散播,2,,,20,1
118,直接对抗,125;126,0,0,你决定直接对抗荒芜祭团，这是一场艰难的战斗,战斗中，你发现对方的首领竟然是...,1,11,,20,1
119,阻止战争,127;128,0,0,你努力阻止战争的爆发，但这需要巨大的牺牲,你的行动引起了战争神殿的注意,2,,,21,1
120,利用战争,127;129,0,0,你选择利用战争来获得力量，这是危险的捷径,战争的杀戮让你变得越来越强大,4,,,21,1
121,解救实验体,130;131,0,0,你成功解救了被关押的实验体，他们提供了重要情报,情报揭示了生命教派的终极计划,2,,46,22,1
122,摧毁实验室,130;132,0,0,你摧毁了生命教派的实验室，阻止了他们的实验,但这只是开始，生命教派还有其他据点,1,12,,22,1
123,找到解药,133;134,0,0,你找到了瘟疫的解药，但这需要付出巨大的代价,你决定使用解药拯救民众，或者保留它作为筹码,2,,,20,1
124,阻止瘟疫,133;134,0,0,你成功阻止了瘟疫的散播，但荒芜祭团不会善罢甘休,你决定主动出击，或者防守,2,,,20,1
125,战斗胜利,133;134,0,0,你击败了荒芜祭团的首领，但发现这只是个开始,真正的幕后黑手还在暗处,1,13,,20,1
126,战斗失败,133;134,0,0,你在战斗中落败，被迫逃亡,你必须重整旗鼓，再次挑战,1,13,,20,1
127,战争结束,135;136,0,0,战争结束了，但代价是惨重的,你决定追查战争神殿，或者放下仇恨,2,,,21,1
128,和平使者,135;136,0,0,你成为了和平的使者，努力修复战争带来的创伤,但战争神殿不会放过你,2,,47,21,1
129,战争之王,135;137,0,0,你成为了战争的主宰，掌握了巨大的力量,但这力量正在腐蚀你的心灵,4,,,21,1
130,生命真相,138;139,0,0,你发现了生命教派的真相——他们在创造新的生命之神,你必须阻止这个疯狂的计划,2,,,22,1
131,实验体联盟,138;139,0,0,被解救的实验体组成了联盟，愿意为你而战,你决定带领他们对抗生命教派,2,,48,22,1
132,教派反扑,138;140,0,0,生命教派开始反扑，你必须应对他们的报复,这是一场生死之战,1,14,,22,1
133,BOSS-荒芜祭团,,0,1,无垢真菌的化身出现在你面前，它是疾病和污染的源头,净化它，或者被它吞噬——没有中间选择,1,15,,23,1
134,隐藏结局 - 瘟疫医生,,0,1,你成为了新的瘟疫医生，用自己的方式'拯救'世界,但这真的是拯救吗？还是另一种毁灭？,2,,,24,1
135,BOSS-战争神殿,,0,1,鲜血王座之上，战争之神俯视众生；他的存在就是为了永恒的杀戮,只有击败他，才能终结无尽的战争,1,16,,25,1
136,隐藏结局 - 和平守护者,,0,1,你成为了和平的守护者，用智慧和勇气维护着世界的平衡,但和平总是短暂的，你能守护多久？,2,,,26,1
137,隐藏结局 - 暴君,,0,1,你成为了新的暴君，用战争和杀戮统治世界,这就是你追求的力量吗？,2,,,27,1
138,BOSS-生命教派,,0,1,血肉与机械融合的邪神降临，无数触手蠕动；她是生命之源，也是毁灭之始,击败她，或者被她同化——这是最后的抉择,1,17,,28,1
139,隐藏结局 - 新神,,0,1,你取代了生命之神，成为了新的神祗,但神性正在吞噬你的人性,2,,,29,1
140,隐藏结局 - 复仇者,,0,1,你成为了复仇的化身，誓要摧毁所有教派,但复仇的尽头是什么？,2,,,30,1
